Object ID,Category
160024,TurnsRandom
1587024,Burst
7647024,Back-forth
8984024,Dead
2792025,MostlyStraight
2349025,Turns45deg
4684025,Turns85deg
160025,TurnsRandom
1587025,Burst
7647025,Back-forth
8984025,Dead
2792026,MostlyStraight
2349026,Turns45deg
4684026,Turns85deg
160026,TurnsRandom
1587026,Burst
7647026,Back-forth
8984026,Dead
2792027,MostlyStraight
2349027,Turns45deg
4684027,Turns85deg
160027,TurnsRandom
1587027,Burst
7647027,Back-forth
8984027,Dead
2792028,MostlyStraight
2349028,Turns45deg
4684028,Turns85deg
160028,TurnsRandom
1587028,Burst
7647028,Back-forth
8984028,Dead
2792029,MostlyStraight
2349029,Turns45deg
4684029,Turns85deg
160029,TurnsRandom
1587029,Burst
7647029,Back-forth
8984029,Dead
2792030,MostlyStraight
2349030,Turns45deg
4684030,Turns85deg
160030,TurnsRandom
1587030,Burst
7647030,Back-forth
8984030,Dead
2792031,MostlyStraight
2349031,Turns45deg
4684031,Turns85deg
160031,TurnsRandom
1587031,Burst
7647031,Back-forth
8984031,Dead
2792032,MostlyStraight
2349032,Turns45deg
4684032,Turns85deg
160032,TurnsRandom
1587032,Burst
7647032,Back-forth
8984032,Dead
2792033,MostlyStraight
2349033,Turns45deg
4684033,Turns85deg
160033,TurnsRandom
1587033,Burst
7647033,Back-forth
8984033,Dead
2792034,MostlyStraight
2349034,Turns45deg
4684034,Turns85deg
160034,TurnsRandom
1587034,Burst
7647034,Back-forth
8984034,Dead
2792035,MostlyStraight
2349035,Turns45deg
4684035,Turns85deg
160035,TurnsRandom
1587035,Burst
7647035,Back-forth
8984035,Dead
2792036,MostlyStraight
2349036,Turns45deg
4684036,Turns85deg
160036,TurnsRandom
1587036,Burst
7647036,Back-forth
8984036,Dead
2792037,MostlyStraight
2349037,Turns45deg
4684037,Turns85deg
160037,TurnsRandom
1587037,Burst
7647037,Back-forth
8984037,Dead
2792038,MostlyStraight
2349038,Turns45deg
4684038,Turns85deg
160038,TurnsRandom
1587038,Burst
7647038,Back-forth
8984038,Dead
2792039,MostlyStraight
2349039,Turns45deg
4684039,Turns85deg
160039,TurnsRandom
1587039,Burst
7647039,Back-forth
8984039,Dead
2792040,MostlyStraight
2349040,Turns45deg
4684040,Turns85deg
160040,TurnsRandom
1587040,Burst
7647040,Back-forth
8984040,Dead
2792041,MostlyStraight
2349041,Turns45deg
4684041,Turns85deg
160041,TurnsRandom
1587041,Burst
7647041,Back-forth
8984041,Dead
2792042,MostlyStraight
2349042,Turns45deg
4684042,Turns85deg
160042,TurnsRandom
1587042,Burst
7647042,Back-forth
8984042,Dead
2792043,MostlyStraight
2349043,Turns45deg
4684043,Turns85deg
160043,TurnsRandom
1587043,Burst
7647043,Back-forth
8984043,Dead
2792044,MostlyStraight
2349044,Turns45deg
4684044,Turns85deg
160044,TurnsRandom
1587044,Burst
7647044,Back-forth
8984044,Dead
2792045,MostlyStraight
2349045,Turns45deg
4684045,Turns85deg
160045,TurnsRandom
1587045,Burst
7647045,Back-forth
8984045,Dead
2792046,MostlyStraight
2349046,Turns45deg
4684046,Turns85deg
160046,TurnsRandom
1587046,Burst
7647046,Back-forth
8984046,Dead
2792047,MostlyStraight
2349047,Turns45deg
4684047,Turns85deg
160047,TurnsRandom
1587047,Burst
7647047,Back-forth
8984047,Dead
2792048,MostlyStraight
2349048,Turns45deg
4684048,Turns85deg
160048,TurnsRandom
1587048,Burst
7647048,Back-forth
8984048,Dead
2792049,MostlyStraight
2349049,Turns45deg
4684049,Turns85deg
160049,TurnsRandom
1587049,Burst
7647049,Back-forth
8984049,Dead
